Experiment,Model,Config,R2,MSE,Spearman
Exp1,"Grid(8,1,32)",dim=8 heads=1 hidden=32,0.8251,0.6196,0.8786
Exp1,"Grid(8,1,64)",dim=8 heads=1 hidden=64,0.7963,0.7215,0.8785
Exp1,"Grid(8,1,128)",dim=8 heads=1 hidden=128,0.8189,0.6417,0.8755
Exp1,"Grid(8,2,32)",dim=8 heads=2 hidden=32,0.8175,0.6466,0.8741
Exp1,"Grid(8,2,64)",dim=8 heads=2 hidden=64,0.8235,0.6254,0.8735
Exp1,"Grid(8,2,128)",dim=8 heads=2 hidden=128,0.8211,0.6338,0.8768
Exp1,"Grid(8,4,32)",dim=8 heads=4 hidden=32,0.8218,0.6315,0.8748
Exp1,"Grid(8,4,64)",dim=8 heads=4 hidden=64,0.7966,0.7205,0.8754
Exp1,"Grid(8,4,128)",dim=8 heads=4 hidden=128,0.7994,0.7106,0.8735
Exp1,"Grid(16,1,32)",dim=16 heads=1 hidden=32,0.816,0.6518,0.8779
Exp1,"Grid(16,1,64)",dim=16 heads=1 hidden=64,0.8142,0.6581,0.8697
Exp1,"Grid(16,1,128)",dim=16 heads=1 hidden=128,0.816,0.6519,0.8756
Exp1,"Grid(16,2,32)",dim=16 heads=2 hidden=32,0.8198,0.6382,0.8703
Exp1,"Grid(16,2,64)",dim=16 heads=2 hidden=64,0.8146,0.657,0.8764
Exp1,"Grid(16,2,128)",dim=16 heads=2 hidden=128,0.794,0.7298,0.8666
Exp1,"Grid(16,4,32)",dim=16 heads=4 hidden=32,0.8097,0.6742,0.869
Exp1,"Grid(16,4,64)",dim=16 heads=4 hidden=64,0.8151,0.655,0.8735
Exp1,"Grid(16,4,128)",dim=16 heads=4 hidden=128,0.7959,0.7231,0.8648
Exp1,"Grid(32,1,32)",dim=32 heads=1 hidden=32,0.8163,0.6507,0.8686
Exp1,"Grid(32,1,64)",dim=32 heads=1 hidden=64,0.8165,0.65,0.8695
Exp1,"Grid(32,1,128)",dim=32 heads=1 hidden=128,0.803,0.6981,0.873
Exp1,"Grid(32,2,32)",dim=32 heads=2 hidden=32,0.8111,0.6694,0.8699
Exp1,"Grid(32,2,64)",dim=32 heads=2 hidden=64,0.8027,0.6989,0.8623
Exp1,"Grid(32,2,128)",dim=32 heads=2 hidden=128,0.8104,0.6716,0.8725
Exp1,"Grid(32,4,32)",dim=32 heads=4 hidden=32,0.808,0.6802,0.8673
Exp1,"Grid(32,4,64)",dim=32 heads=4 hidden=64,0.8064,0.6858,0.8772
Exp1,"Grid(32,4,128)",dim=32 heads=4 hidden=128,0.7974,0.7176,0.8683
Exp1,"Grid(64,1,32)",dim=64 heads=1 hidden=32,0.811,0.6696,0.8691
Exp1,"Grid(64,1,64)",dim=64 heads=1 hidden=64,0.8036,0.6957,0.873
Exp1,"Grid(64,1,128)",dim=64 heads=1 hidden=128,0.8163,0.6509,0.8756
Exp1,"Grid(64,2,32)",dim=64 heads=2 hidden=32,0.8233,0.6259,0.8753
Exp1,"Grid(64,2,64)",dim=64 heads=2 hidden=64,0.8089,0.6772,0.8705
Exp1,"Grid(64,2,128)",dim=64 heads=2 hidden=128,0.8022,0.7009,0.8665
Exp1,"Grid(64,4,32)",dim=64 heads=4 hidden=32,0.8086,0.678,0.8662
Exp1,"Grid(64,4,64)",dim=64 heads=4 hidden=64,0.8027,0.699,0.8683
Exp1,"Grid(64,4,128)",dim=64 heads=4 hidden=128,0.8055,0.689,0.8632
Exp1,"Grid(16,1,64)",dim=16 heads=1 hidden=64,0.8258,0.6173,0.8793
Exp2,V1_Full,Bi-directional,0.8258,0.6173,0.8793
Exp2,V2_NoAttn,No attn 35ep,0.8119,0.6664,0.8741
Exp2,V3_Body2Cloth,B->C attn 25ep,0.8111,0.6694,0.867
Exp2,V4_Cloth2Body,C->B attn 25ep,0.8156,0.6531,0.8689
Exp3,Random Forest,n=100 CV,0.808,0.6802,0.8631
Exp3,SVR,"C=[1,10] CV",0.8095,0.6749,0.8725
Exp3,MLP,128-32-1 60ep,0.8138,0.6598,0.8751
Exp3,1D-CNN,Conv1d 12ep,0.8146,0.6568,0.8756
Exp3,LSTM,BiLSTM 60ep,0.8008,0.7057,0.8602
