Cloth_Feature,Body_Feature,Attention_Weight
Torso - Hip,Low Hip,0.50557941198349
Top Value,Bust,0.49756842851638794
Sil - Bust,VHI,0.4808623492717743
Bottom Hue,Bust,0.44793614745140076
Sil - Hip,Bust,0.43438830971717834
Torso - Waist,Low Hip,0.3966795802116394
Hem,Bust,0.39598792791366577
Torso - Bust,Bust,0.34309813380241394
Cloth Category_coat,Across Shoulder,0.34207627177238464
Top Saturation,Low Hip,0.32978829741477966
Cloth Category_coat,Low Hip,0.32072776556015015
Bottom Value,Low Hip,0.30727431178092957
Shoulder,VHI,0.3048463761806488
Cloth Category_summer,VHI,0.29948121309280396
Torso - Waist,Bust,0.29831093549728394
Cloth Category_shirt,VHI,0.2936961352825165
Bottom Hue,Inseam,0.2766917645931244
Torso - Bust,Low Hip,0.2642399072647095
Sil - Hip,VHI,0.26410919427871704
Bottom Saturation,Across Shoulder,0.2640761435031891
Cloth Category_summer,Low Hip,0.2605277895927429
Top Hue,Bust,0.2528153657913208
Bottom Value,Across Shoulder,0.24858638644218445
Cloth Category_shirt,Low Hip,0.24506503343582153
Sil - Waist,Bust,0.23685331642627716
Hem,Inseam,0.2254326343536377
Sil - Bust,Low Hip,0.22227366268634796
Top Hue,Inseam,0.2194952517747879
Top Saturation,Across Shoulder,0.20876818895339966
Sil - Waist,Low Hip,0.2031368911266327
Bottom Saturation,Bust,0.19753329455852509
Top Saturation,VHI,0.19207915663719177
Bottom Saturation,Inseam,0.19095423817634583
Top Value,Across Shoulder,0.1907004863023758
Top Hue,VHI,0.18652085959911346
Top Value,Low Hip,0.1832321435213089
Bottom Value,Waist,0.1827969253063202
Sil - Waist,Waist,0.1770702302455902
Top Hue,Across Shoulder,0.1733095347881317
Cloth Category_summer,Bust,0.17140276730060577
Shoulder,Low Hip,0.17132942378520966
Torso - Hip,Waist,0.16862155497074127
Sil - Waist,VHI,0.16550672054290771
Torso - Bust,VHI,0.16527970135211945
Shoulder,Bust,0.1620512306690216
Cloth Category_shirt,Bust,0.16101481020450592
Top Saturation,Inseam,0.16030967235565186
Shoulder,Across Shoulder,0.1599198430776596
Bottom Value,VHI,0.15714110434055328
Cloth Category_coat,Inseam,0.14916011691093445
